,ID,Year_Birth,Education,Marital_Status,Income,Income_category,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,median_income,Age,Join_year,Childhome,Total_Mnt,Total_num_purchase,Total_accept,Order_value
0,5524,1957-01-01,Graduate,Single,58138.0,3. Upper-Middle,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,50388.0,58,2012,0,1617,32,1,50.53125
1,2174,1954-01-01,Graduate,Single,46344.0,2. Lower-Middle,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60965.5,61,2014,2,27,11,0,2.4545454545454546
2,4141,1965-01-01,Graduate,Married,71613.0,4. Upper,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,59594.0,50,2013,0,776,25,0,31.04
3,6182,1984-01-01,Graduate,Married,26646.0,1. Lower,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,35196.0,31,2014,1,53,14,0,3.7857142857142856
4,5324,1981-01-01,Postgraduate,Married,58293.0,3. Upper-Middle,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,50945.0,34,2014,1,422,24,0,17.583333333333332
5,7446,1967-01-01,Postgraduate,Married,62513.0,3. Upper-Middle,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59235.0,48,2013,1,716,28,0,25.571428571428573
6,965,1971-01-01,Graduate,Single,55635.0,3. Upper-Middle,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,42075.5,44,2012,1,590,27,0,21.85185185185185
7,6177,1985-01-01,Postgraduate,Married,33454.0,1. Lower,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,33454.0,30,2013,1,169,18,0,9.38888888888889
8,4855,1974-01-01,Postgraduate,Married,30351.0,1. Lower,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,39767.0,41,2013,1,46,15,1,3.066666666666667
9,5899,1950-01-01,Postgraduate,Married,5648.0,1. Lower,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,53294.5,65,2014,2,49,22,1,2.227272727272727
